rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202501017835779,2025-01-01,KGX,EDB,1600,2022,GR
202501026771602,2025-01-02,KGX,ABD,1600,2020,GR
202501036771602,2025-01-03,KGX,ABD,1600,2020,GR
202501066771602,2025-01-06,KGX,ABD,1600,2020,GR
202501076771602,2025-01-07,KGX,ABD,1600,2020,GR
202501016771574,2025-01-01,KGX,EDB,1630,2114,GR
202501026771574,2025-01-02,KGX,EDB,1630,2114,GR
202501036771574,2025-01-03,KGX,EDB,1630,2114,GR
202501066771574,2025-01-06,KGX,EDB,1630,2114,GR
202501076771574,2025-01-07,KGX,EDB,1630,2114,GR
202501016771577,2025-01-01,KGX,EDB,1700,2125,GR
202501026771577,2025-01-02,KGX,EDB,1700,2125,GR
202501036771577,2025-01-03,KGX,EDB,1700,2125,GR
202501066771577,2025-01-06,KGX,EDB,1700,2125,GR
202501076771577,2025-01-07,KGX,EDB,1700,2125,GR
202501016771580,2025-01-01,KGX,EDB,1730,2208,GR
202501026771580,2025-01-02,KGX,EDB,1730,2208,GR
202501036771580,2025-01-03,KGX,EDB,1730,2208,GR
202501066771580,2025-01-06,KGX,EDB,1730,2208,GR
202501076771580,2025-01-07,KGX,EDB,1730,2208,GR
202501016771583,2025-01-01,KGX,EDB,1800,2220,GR
202501026771583,2025-01-02,KGX,EDB,1800,2220,GR
202501036771583,2025-01-03,KGX,EDB,1800,2220,GR
202501066771583,2025-01-06,KGX,EDB,1800,2220,GR
202501076771583,2025-01-07,KGX,EDB,1800,2220,GR
202501026771586,2025-01-02,KGX,EDB,1830,2316,GR
202501036771586,2025-01-03,KGX,EDB,1830,2316,GR
202501066771586,2025-01-06,KGX,EDB,1830,2316,GR
202501076771586,2025-01-07,KGX,EDB,1830,2316,GR
202501016771586,2025-01-01,KGX,EDB,1830,2317,GR
202501026771588,2025-01-02,KGX,EDB,1900,2324,GR
202501036771588,2025-01-03,KGX,EDB,1900,2324,GR
202501066771588,2025-01-06,KGX,EDB,1900,2324,GR
202501076771588,2025-01-07,KGX,EDB,1900,2324,GR
202501086771602,2025-01-08,KGX,ABD,1600,2020,GR
202501096771602,2025-01-09,KGX,ABD,1600,2020,GR
202501106771602,2025-01-10,KGX,ABD,1600,2020,GR
202501136771602,2025-01-13,KGX,ABD,1600,2020,GR
202501146771602,2025-01-14,KGX,ABD,1600,2020,GR
202501086771574,2025-01-08,KGX,EDB,1630,2114,GR
202501096771574,2025-01-09,KGX,EDB,1630,2114,GR
202501106771574,2025-01-10,KGX,EDB,1630,2114,GR
202501136771574,2025-01-13,KGX,EDB,1630,2114,GR
202501146771574,2025-01-14,KGX,EDB,1630,2114,GR
202501086771577,2025-01-08,KGX,EDB,1700,2125,GR
202501096771577,2025-01-09,KGX,EDB,1700,2125,GR
202501106771577,2025-01-10,KGX,EDB,1700,2125,GR
202501136771577,2025-01-13,KGX,EDB,1700,2125,GR
202501146771577,2025-01-14,KGX,EDB,1700,2125,GR
202501086771580,2025-01-08,KGX,EDB,1730,2208,GR
202501096771580,2025-01-09,KGX,EDB,1730,2208,GR
202501106771580,2025-01-10,KGX,EDB,1730,2208,GR
202501136771580,2025-01-13,KGX,EDB,1730,2208,GR
202501146771580,2025-01-14,KGX,EDB,1730,2208,GR
202501086771583,2025-01-08,KGX,EDB,1800,2220,GR
202501096771583,2025-01-09,KGX,EDB,1800,2220,GR
202501106771583,2025-01-10,KGX,EDB,1800,2220,GR
202501136771583,2025-01-13,KGX,EDB,1800,2220,GR
202501146771583,2025-01-14,KGX,EDB,1800,2220,GR
202501086771586,2025-01-08,KGX,EDB,1830,2316,GR
202501096771586,2025-01-09,KGX,EDB,1830,2316,GR
202501106771586,2025-01-10,KGX,EDB,1830,2316,GR
202501136771586,2025-01-13,KGX,EDB,1830,2316,GR
202501146771586,2025-01-14,KGX,EDB,1830,2316,GR
202501086771588,2025-01-08,KGX,EDB,1900,2324,GR
202501096771588,2025-01-09,KGX,EDB,1900,2324,GR
202501106771588,2025-01-10,KGX,EDB,1900,2324,GR
202501136771588,2025-01-13,KGX,EDB,1900,2324,GR
202501146771588,2025-01-14,KGX,EDB,1900,2324,GR
202501156771602,2025-01-15,KGX,ABD,1600,2020,GR
202501166771602,2025-01-16,KGX,ABD,1600,2020,GR
202501176771602,2025-01-17,KGX,ABD,1600,2020,GR
202501206771602,2025-01-20,KGX,ABD,1600,2020,GR
202501216771602,2025-01-21,KGX,ABD,1600,2020,GR
202501156771574,2025-01-15,KGX,EDB,1630,2114,GR
202501166771574,2025-01-16,KGX,EDB,1630,2114,GR
202501176771574,2025-01-17,KGX,EDB,1630,2114,GR
202501206771574,2025-01-20,KGX,EDB,1630,2114,GR
202501216771574,2025-01-21,KGX,EDB,1630,2114,GR
202501156771577,2025-01-15,KGX,EDB,1700,2125,GR
202501166771577,2025-01-16,KGX,EDB,1700,2125,GR
202501176771577,2025-01-17,KGX,EDB,1700,2125,GR
202501206771577,2025-01-20,KGX,EDB,1700,2125,GR
202501216771577,2025-01-21,KGX,EDB,1700,2125,GR
202501156771580,2025-01-15,KGX,EDB,1730,2208,GR
202501166771580,2025-01-16,KGX,EDB,1730,2208,GR
202501176771580,2025-01-17,KGX,EDB,1730,2208,GR
202501206771580,2025-01-20,KGX,EDB,1730,2208,GR
202501216771580,2025-01-21,KGX,EDB,1730,2208,GR
202501156771583,2025-01-15,KGX,EDB,1800,2220,GR
202501166771583,2025-01-16,KGX,EDB,1800,2220,GR
202501176771583,2025-01-17,KGX,EDB,1800,2220,GR
202501206771583,2025-01-20,KGX,EDB,1800,2220,GR
202501216771583,2025-01-21,KGX,EDB,1800,2220,GR
202501156771586,2025-01-15,KGX,EDB,1830,2316,GR
202501166771586,2025-01-16,KGX,EDB,1830,2316,GR
202501176771586,2025-01-17,KGX,EDB,1830,2316,GR
202501206771586,2025-01-20,KGX,EDB,1830,2316,GR
202501216771586,2025-01-21,KGX,EDB,1830,2316,GR
202501156771588,2025-01-15,KGX,EDB,1900,2324,GR
202501166771588,2025-01-16,KGX,EDB,1900,2324,GR
202501176771588,2025-01-17,KGX,EDB,1900,2324,GR
202501206771588,2025-01-20,KGX,EDB,1900,2324,GR
202501216771588,2025-01-21,KGX,EDB,1900,2324,GR
202501296771602,2025-01-29,KGX,ABD,1600,2020,GR
202501306771602,2025-01-30,KGX,ABD,1600,2020,GR
202501316771602,2025-01-31,KGX,ABD,1600,2020,GR
202502036771602,2025-02-03,KGX,ABD,1600,2020,GR
202502046771602,2025-02-04,KGX,ABD,1600,2020,GR
202501296771574,2025-01-29,KGX,EDB,1630,2114,GR
202501306771574,2025-01-30,KGX,EDB,1630,2114,GR
202501316771574,2025-01-31,KGX,EDB,1630,2114,GR
202502036771574,2025-02-03,KGX,EDB,1630,2114,GR
202502046771574,2025-02-04,KGX,EDB,1630,2114,GR
202501296771577,2025-01-29,KGX,EDB,1700,2125,GR
202501306771577,2025-01-30,KGX,EDB,1700,2125,GR
202501316771577,2025-01-31,KGX,EDB,1700,2125,GR
202502036771577,2025-02-03,KGX,EDB,1700,2125,GR
202502046771577,2025-02-04,KGX,EDB,1700,2125,GR
202501296771580,2025-01-29,KGX,EDB,1730,2208,GR
202501306771580,2025-01-30,KGX,EDB,1730,2208,GR
202501316771580,2025-01-31,KGX,EDB,1730,2208,GR
202502036771580,2025-02-03,KGX,EDB,1730,2208,GR
202502046771580,2025-02-04,KGX,EDB,1730,2208,GR
202501296771583,2025-01-29,KGX,EDB,1800,2220,GR
202501306771583,2025-01-30,KGX,EDB,1800,2220,GR
202501316771583,2025-01-31,KGX,EDB,1800,2220,GR
202502036771583,2025-02-03,KGX,EDB,1800,2220,GR
202502046771583,2025-02-04,KGX,EDB,1800,2220,GR
202501296771586,2025-01-29,KGX,EDB,1830,2316,GR
202501306771586,2025-01-30,KGX,EDB,1830,2316,GR
202501316771586,2025-01-31,KGX,EDB,1830,2316,GR
202502036771586,2025-02-03,KGX,EDB,1830,2316,GR
202502046771586,2025-02-04,KGX,EDB,1830,2316,GR
202501296771588,2025-01-29,KGX,EDB,1900,2324,GR
202501306771588,2025-01-30,KGX,EDB,1900,2324,GR
202501316771588,2025-01-31,KGX,EDB,1900,2324,GR
202502036771588,2025-02-03,KGX,EDB,1900,2324,GR
202502046771588,2025-02-04,KGX,EDB,1900,2324,GR
202502056771602,2025-02-05,KGX,ABD,1600,2020,GR
202502066771602,2025-02-06,KGX,ABD,1600,2020,GR
202502076771602,2025-02-07,KGX,ABD,1600,2020,GR
202502106771602,2025-02-10,KGX,ABD,1600,2020,GR
202502116771602,2025-02-11,KGX,ABD,1600,2020,GR
202502056771574,2025-02-05,KGX,EDB,1630,2114,GR
202502066771574,2025-02-06,KGX,EDB,1630,2114,GR
202502076771574,2025-02-07,KGX,EDB,1630,2114,GR
202502106771574,2025-02-10,KGX,EDB,1630,2114,GR
202502116771574,2025-02-11,KGX,EDB,1630,2114,GR
202502056771577,2025-02-05,KGX,EDB,1700,2125,GR
202502066771577,2025-02-06,KGX,EDB,1700,2125,GR
202502076771577,2025-02-07,KGX,EDB,1700,2125,GR
202502106771577,2025-02-10,KGX,EDB,1700,2125,GR
202502116771577,2025-02-11,KGX,EDB,1700,2125,GR
202502056771580,2025-02-05,KGX,EDB,1730,2208,GR
202502066771580,2025-02-06,KGX,EDB,1730,2208,GR
202502076771580,2025-02-07,KGX,EDB,1730,2208,GR
202502106771580,2025-02-10,KGX,EDB,1730,2208,GR
202502116771580,2025-02-11,KGX,EDB,1730,2208,GR
202502056771583,2025-02-05,KGX,EDB,1800,2220,GR
202502066771583,2025-02-06,KGX,EDB,1800,2220,GR
202502076771583,2025-02-07,KGX,EDB,1800,2220,GR
202502106771583,2025-02-10,KGX,EDB,1800,2220,GR
202502116771583,2025-02-11,KGX,EDB,1800,2220,GR
202502056771586,2025-02-05,KGX,EDB,1830,2316,GR
202502066771586,2025-02-06,KGX,EDB,1830,2316,GR
202502076771586,2025-02-07,KGX,EDB,1830,2316,GR
202502106771586,2025-02-10,KGX,EDB,1830,2316,GR
202502116771586,2025-02-11,KGX,EDB,1830,2316,GR
202502056771588,2025-02-05,KGX,EDB,1900,2324,GR
202502066771588,2025-02-06,KGX,EDB,1900,2324,GR
202502076771588,2025-02-07,KGX,EDB,1900,2324,GR
202502106771588,2025-02-10,KGX,EDB,1900,2324,GR
202502116771588,2025-02-11,KGX,EDB,1900,2324,GR
202502126771602,2025-02-12,KGX,ABD,1600,2020,GR
202502136771602,2025-02-13,KGX,ABD,1600,2020,GR
202502146771602,2025-02-14,KGX,ABD,1600,2020,GR
202502176771602,2025-02-17,KGX,ABD,1600,2020,GR
202502186771602,2025-02-18,KGX,ABD,1600,2020,GR
202502126771574,2025-02-12,KGX,EDB,1630,2114,GR
202502136771574,2025-02-13,KGX,EDB,1630,2114,GR
202502146771574,2025-02-14,KGX,EDB,1630,2114,GR
202502176771574,2025-02-17,KGX,EDB,1630,2114,GR
202502186771574,2025-02-18,KGX,EDB,1630,2114,GR
202502126771577,2025-02-12,KGX,EDB,1700,2125,GR
202502136771577,2025-02-13,KGX,EDB,1700,2125,GR
202502146771577,2025-02-14,KGX,EDB,1700,2125,GR
202502176771577,2025-02-17,KGX,EDB,1700,2125,GR
202502186771577,2025-02-18,KGX,EDB,1700,2125,GR
202502126771580,2025-02-12,KGX,EDB,1730,2208,GR
202502136771580,2025-02-13,KGX,EDB,1730,2208,GR
202502146771580,2025-02-14,KGX,EDB,1730,2208,GR
202502176771580,2025-02-17,KGX,EDB,1730,2208,GR
